id,name,strategy_id
TACT001,1.1 ส่งเสริม สนับสนุนการบริหารจัดการน้ำตามแนวพระราชดำริ,STRAT001
TACT002,1.2 น้อมนำและเผยแพร่หลักปรัชญาเศรษฐกิจพอเพียง และแนวพระราชดำริ,STRAT001
TACT003,1.3 ประสานความร่วมมือกับองค์กรปกครองส่วนท้องถิ่นอื่นๆ ส่วนราชการ ในการพัฒนาแก้ไขปัญหาความเดือดร้อนของประชาชน,STRAT001
TACT004,2.1 ยกระดับคุณภาพการศึกษา พัฒนากำลังคนสมรรถนะสูง ส่งเสริมการเรียนรู้ตลอดชีวิต,STRAT002
TACT005,2.2 ลดความเหลื่อมล้ำ สร้างคนให้มีคุณภาพ,STRAT002
TACT006,2.3 การแก้ไขปัญหาความยากจนอย่างยั่งยืนสร้างโอกาสที่เสมอภาค พัฒนาระบบความคุ้มครองทางสังคมให้มีประสิทธิภาพ,STRAT002
TACT007,2.4 ส่งเสริมสุขภาวะที่ดีของประชาชน,STRAT002
TACT008,2.5 ส่งเสริมงานป้องกันแก้ไขปัญหายาเสพติด,STRAT002
TACT009,2.7 ประสานความร่วมมือกับองค์กรปกครองส่วนท้องถิ่นอื่นๆ ส่วนราชการ ในการพัฒนาแก้ไขปัญหาความเดือดร้อนของประชาชน,STRAT002
TACT010,3.1 การส่งเสริมการผลิตและการขยายตัวของตลาดสินค้าเกษตรและผลิตภัณฑ์เกษตรแปรรูปที่มีมูลค่าเพิ่มสูง,STRAT003
TACT011,3.2 การส่งเสริมการพัฒนาการศาสนาวัฒนธรรมและนันทนาการ และยกระดับการท่องเที่ยวที่มีศักยภาพ,STRAT003
TACT012,3.3 ยกระดับการผลิต พัฒนาและเพิ่มศักยภาพการผลิตด้านการประมงและทรัพยากรสัตว์น้ำให้มีความยั่งยืน,STRAT003
TACT013,3.4 พัฒนาระบบบริหารจัดการน้ำ ประสานความร่วมมือกับส่วนราชการ องค์กรปกครองส่วนท้องถิ่นอื่นๆ ให้มีความสมดุล เพื่อแก้ไขปัญหาความเดือดร้อนของประชาชน,STRAT003
TACT014,4.1 พัฒนาโครงสร้างพื้นฐาน ระบบโลจิสติกส์ วางผังเมืองและสิ่งอำนวยความสะดวกอย่างต่อเนื่องและได้มาตรฐาน,STRAT004
TACT015,4.2 บำรุงรักษา ฟื้นฟูทรัพยากรธรรมชาติและสิ่งแวดล้อม กำจัดขยะมูลฝอยและสิ่งปฏิกูลรวม จัดตั้ง ดูแลระบบน้ำเสียรวม,STRAT004
TACT016,4.3 ส่งเสริม สนับสนุนงานป้องกันและบรรเทาสาธารณภัย และการรักษาความสงบเรียบร้อย,STRAT004
TACT017,4.4 ประสานความร่วมมือกับองค์กรปกครองส่วนท้องถิ่นอื่นๆ ส่วนราชการ ในการพัฒนาแก้ไขปัญหาความเดือดร้อนของประชาชน,STRAT004
TACT018,4.5 สนับสนุน ส่งเสริมการกีฬา บำรุงสถานที่สำหรับกีฬาการท่องเที่ยวและสุขภาพ จัดให้มีสวนสาธารณะ และสถานที่พักผ่อนหย่อนใจ,STRAT004
TACT019,5.1 ส่งเสริมการปกครองตามระบอบประชาธิปไตย ส่งเสริมความร่วมมือภาครัฐ เอกชน ประชาชน,STRAT005
TACT020,5.2 สร้างความโปร่งใสและธรรมาภิบาล มุ่งเน้นการมีส่วนร่วมของประชาชน นำเทคโนโลยีและนวัตกรรมมาใช้ใน การพัฒนาท้องถิ่น และปรับปรุงโครงสร้างให้ทันสมัย มีประสิทธิภาพ,STRAT005
TACT021,5.3 ประสานความร่วมมือกับองค์กรปกครองส่วนท้องถิ่นอื่นๆ ส่วนราชการ ในการพัฒนาแก้ไขปัญหาความเดือดร้อนของประชาชน,STRAT005
